prediction,confidence,seconds_prediction,left_page_prediction,prediction_m2,confidence_m2,true_value_m2,prediction_m1,confidence_m1,true_value_m1,meta_prediction,seconds_meta_prediction,left_page_meta_prediction,attention_correct,external_info_economics,external_info_sports,external_info_politics,external_info_climate,no_external_info,felt_time_pressure,time_attention_1,time_attention_2,time_external_info_time_pressure,ses_ladder,yankees_fan,dodgers_fan,cubs_fan,astros_fan,no_fan,quantitative_training,statistics_knowledge,media_newspaper,media_magazine,media_radio,media_tv,media_social_network,media_podcast,media_blog,content_news,content_weather,content_political_commentary,content_financial_commentary,content_entertainment,content_health,content_sports,content_climate,content_science,spml_1,spml_2,spml_3,spml_4,spml_5,spml_6,spml_score,assets_owned_1,assets_owned_2,assets_owned_3,assets_owned_4,rpo_sports,rpo_economics,rpo_politics,rpo_climate,knowledge_sports,knowledge_economics,knowledge_politics,knowledge_climate,experience_sports,experience_economics,experience_politics,experience_climate,time_announcement_characteristics,time_knowledge,time_experience,time_quant_stat,time_fan_assets,time_media_consumption_1,time_media_consumption_2,time_spml,time_ses,age,gender,education_level,employment_status,background_in_politics,background_in_economics,background_in_sports,background_in_climate,no_background,income_level,us_state,zip_code_first_three,race,political_affiliation,liberal_conservative,time_demographics_1,time_demographics_2,dk_sports,dk_economics,dk_politics,dk_climate,fin_lit_1,fin_lit_2,fin_lit_3,fin_lit_4,fin_lit_5,fin_lit_score,math_convergence,math_sick_people,math_percentage,math_score,crt4_1,crt4_2,crt4_3,crt4_4,crt4_score,time_sdk,time_fin_lit,time_math,time_crt4,b5_intellect_1,b5_intellect_2,b5_intellect_3,b5_intellect_4,b5_intellect_5,b5_intellect_6,b5_intellect_7,b5_intellect_8,b5_intellect_9,b5_intellect_10,b5_intellect_score,b5_openness_1,b5_openness_2,b5_openness_3,b5_openness_4,b5_openness_5,b5_openness_6,b5_openness_7,b5_openness_8,b5_openness_9,b5_openness_10,b5_openness_score,sop2_optimism,sop2_pessimism,oct_1,oct_2,oct_3,tsq_1,tsq_2,tsq_3,tsq_4,tsq_5,tsq_6,tsq_7,tsq_8,tsq_9,tsq_10,tsq_11,tsq_12,tsq_13,tsq_14,tsq_15,tsq_16,tsq_17,tsq_18,tsq_19,tsq_20,tsq_21,tsq_22,tsq_23,tsq_24,tsq_active_score,tsq_close_score,tsq_intuitive_score,tsq_effortful_score,rcs_1,rcs_2,rcs_3,rcs_4,rcs_5,rcs_6,rcs_7,rcs_8,rcs_9,rcs_10,rcs_ability_score,ius_1,ius_2,ius_3,ius_4,ius_5,ius_6,ius_7,ius_8,ius_9,ius_10,ius_11,ius_12,ius_score,loc_1,loc_2,loc_3,loc_4,loc_internal_score,loc_external_score,ih_1,ih_2,ih_3,ih_4,ih_5,ih_6,ih_7,ih_8,ih_9,ih_10,ih_11,ih_arrogance_score,ih_criticism_score,ih_score,risk_preference,altruism,time_announcement_psychology,time_b5i,time_b5o,time_sop2,time_oct,time_tsq,time_rcs,time_ius,time_loc,time_ih,time_risk_altruism,e_and_p_1,e_and_p_2,e_and_p_3,e_and_p_4,num_candy,time_engagement_predictions,time_candy_prediction,id,attention_study_response,time_prediction,time_meta_prediction,time_consent,time_introduction,time_announcement_meta_predictions,time_announcement_predictions
-1,4,24,1,-22,4,17,-11,3,21,18,27,0,0,0,0,0,1,0,1,3,3,3,7,1,1,1,1,0,6,3,5,2,4,5,3,2,2,4,1,1,3,5,5,4,5,2,1,2,4,2,1,4,2.666666667,1,1,0,0,6,6,3,1,6,3,4,2,3,5,3,4,0,0,1,0,4,4,0,4,3,48,4,2,1,1,0,0,1,0,4,Vermont,515,3,5,6,11,11,1,5,1,4,1,2,4,1,2,0.6,2,1200,300,0.3333333333333333,9,31,50,3,0.25,12,1,0,8,4,3,3,4,4,4,5,2,5,5,3.1,3,5,4,2,5,3,5,4,3,1,2.7,7,2,35,15,95,2,1,1,6,1,6,1,4,6,4,4,3,4,5,1,2,4,2,5,6,4,3,6,2,4.166666667,3.666666667,3,2.666666667,5,3,2,5,1,5,3,4,5,2,3.3,5,1,5,5,2,3,3,5,5,4,3,3,3.666666667,5,2,1,4,3.5,2.5,3,2,3,1,4,2,4,5,3,3,3,2.5,3.6,3,0,6,2,0,0,4,8,8,4,7,8,1,4,5,3,6,7,741,7,9,1,4,98,94,111,45,108,43
-18,2,25,0,30,4,17,-13,4,21,-17,8,1,0,1,0,0,1,0,1,4,4,4,9,1,1,1,1,0,1,6,1,3,5,5,2,5,2,4,2,3,5,3,2,2,4,4,3,2,2,5,5,1,3,1,0,0,0,4,6,3,3,2,3,6,5,5,6,3,6,7,7,7,8,29,11,12,11,12,76,5,1,7,1,0,0,0,0,5,Tennessee,566,7,1,9,11,12,5,7,2,2,4,3,3,1,1,0.4,5,800,500,0.0,8,45,235,3,0.25,54,4,0,1,1,3,1,5,5,3,2,5,1,1,2.7,2,5,1,3,3,2,2,1,5,5,2.3,4,2,60,50,95,1,2,1,1,6,3,6,2,5,2,5,2,2,2,6,5,5,3,6,4,3,4,5,1,4.666666667,3.666666667,3.833333333,3.166666667,3,5,3,1,4,2,3,5,3,4,3.1,3,2,2,4,5,1,1,2,1,3,4,1,2.416666667,5,3,5,2,4,3.5,4,5,1,2,3,4,1,4,5,5,3,3.166666667,3.6,3.363636364,6,1,0,8,7,3,4,10,3,5,7,3,6,4,5,1,3,373,12,12,2,3,97,81,40,3,41,98
-9,6,9,0,16,2,17,-4,5,21,-17,25,1,0,1,0,1,1,0,0,7,7,7,10,1,1,1,1,0,7,6,4,2,2,1,2,2,4,2,2,1,5,1,1,4,4,4,4,4,3,1,2,4,3,1,0,0,1,3,3,2,5,4,5,6,5,6,6,4,6,8,9,11,11,11,11,11,11,12,51,3,5,5,1,0,0,1,0,5,Oklahoma,217,6,3,7,10,10,4,2,6,6,4,3,1,1,3,0.4,5,1200,400,0.6666666666666666,97,27,475,1,0,7,4,9,6,2,5,2,4,4,4,3,2,4,5,2.9,5,5,4,1,5,5,3,3,4,2,2.3,3,6,85,10,35,5,2,6,4,3,6,5,2,1,4,5,6,5,6,4,3,6,5,4,2,6,3,5,6,2.666666667,3.833333333,4.833333333,2.666666667,5,1,5,1,2,5,3,2,3,2,3.1,5,5,2,2,2,2,2,2,5,3,1,1,2.666666667,2,5,2,4,3.5,3,3,2,5,3,3,2,5,4,1,1,1,3,2.4,2.727272727,4,7,6,5,7,2,3,9,7,5,11,3,8,6,4,7,5,294,12,11,3,-2,97,23,43,74,65,66
-8,3,28,0,18,1,17,3,3,21,13,2,0,0,1,0,1,1,0,0,6,6,6,7,1,1,1,1,0,2,4,1,3,5,4,1,3,4,4,2,5,3,2,5,3,5,3,2,4,1,2,2,1,3,0,1,1,0,5,3,1,3,3,2,2,1,4,2,1,4,7,5,5,5,4,5,4,4,4,28,4,5,4,0,1,1,1,0,2,Oregon,76,2,5,7,3,2,1,1,6,6,4,4,1,3,1,0,4,1400,300,0.0,42,47,304,2,0,2,12,11,39,3,5,4,4,2,1,1,2,2,1,3.5,4,5,3,4,4,2,3,4,5,4,3,6,5,60,15,55,5,5,1,1,3,3,4,6,3,4,4,1,4,1,1,3,3,1,4,2,3,3,6,6,4,3.666666667,2.166666667,3,5,2,2,2,1,4,1,3,2,5,3.3,5,4,5,1,2,1,1,4,2,5,2,5,3.083333333,2,4,5,5,3,5,5,5,3,3,3,4,5,1,3,3,2,3.833333333,2.8,3.363636364,0,9,11,11,13,9,12,7,11,12,10,9,11,4,6,3,1,545,3,3,4,-4,94,16,79,60,55,2
-12,1,16,1,-15,3,17,-11,2,21,2,21,1,0,1,1,0,1,0,1,7,7,7,6,1,1,1,1,0,5,5,1,4,3,3,1,4,2,4,2,2,5,4,3,2,2,1,4,2,5,1,3,1,3.333333333,0,0,0,1,1,2,4,5,4,3,2,6,2,6,3,3,13,13,12,12,11,13,12,11,10,58,1,5,6,1,0,1,1,0,9,Wyoming,511,2,2,4,8,7,5,3,3,1,4,1,5,1,2,0.4,4,1200,300,0.3333333333333333,52,89,332,3,0.25,7,7,8,8,3,5,4,2,4,1,5,4,5,5,2.6,3,3,1,3,1,1,1,2,5,5,2.9,5,6,95,100,60,6,1,6,6,3,4,5,6,3,1,5,2,3,2,3,1,4,4,4,2,1,2,5,3,2.666666667,3.666666667,2.833333333,4.166666667,4,1,1,5,2,5,3,3,3,5,3.6,1,3,2,2,5,4,3,2,1,3,3,3,2.666666667,3,4,3,2,3.5,2.5,5,4,2,3,3,3,1,5,5,2,4,3.333333333,3.4,3.363636364,0,8,7,11,11,13,12,12,12,12,11,12,11,2,6,1,1,161,10,9,5,0,93,63,19,70,7,68
18,1,2,1,-18,1,17,15,3,21,-29,18,0,0,0,1,0,0,0,1,19,19,19,1,1,1,1,1,0,4,3,2,3,1,2,1,2,5,3,3,3,3,4,2,5,3,1,2,4,4,3,5,5,2.5,1,1,1,1,2,3,3,3,1,4,1,5,1,5,6,2,9,11,12,11,11,11,11,11,12,30,2,4,2,1,0,0,0,0,1,Louisiana,839,5,2,7,17,10,6,4,1,4,4,2,2,1,2,0.6,5,1400,400,0.3333333333333333,56,72,484,1,0,12,5,6,7,2,3,1,2,1,1,2,2,1,3,2.8,4,4,3,2,5,2,4,2,3,2,2.7,2,7,90,45,15,3,6,6,6,5,2,1,2,5,2,6,2,5,5,1,2,6,1,6,4,3,2,6,2,2.333333333,3,3.333333333,3.166666667,5,5,3,4,5,1,2,4,5,4,2.4,5,5,5,5,4,4,2,5,5,4,3,4,4.25,4,4,3,3,4,3,2,5,1,4,1,4,3,1,3,5,3,2.833333333,3,2.909090909,8,1,4,4,6,8,4,10,5,7,9,7,7,4,7,7,2,811,12,10,6,-2,88,30,8,60,119,60
15,3,15,1,-27,3,17,-25,2,21,19,14,0,0,1,0,0,0,0,0,28,28,28,10,1,1,1,1,0,4,5,2,3,3,3,2,2,4,3,2,4,5,5,1,5,3,5,5,5,4,2,3,2,3.833333333,1,1,1,1,6,3,5,4,1,3,4,1,6,1,2,6,10,9,10,10,13,14,12,10,11,75,3,3,1,1,1,1,1,0,3,Rhode Island,591,2,1,5,8,7,7,4,1,4,2,4,1,1,3,0.2,4,1000,300,0.0,15,24,161,1,0,6,9,9,8,3,3,2,5,5,1,4,2,1,3,3.1,5,5,1,4,5,4,2,1,1,1,2.3,5,3,70,10,70,2,4,6,2,4,4,2,5,4,5,2,2,3,1,4,6,4,5,6,4,6,3,3,6,3.333333333,3.333333333,3.833333333,2.333333333,1,1,2,3,3,3,2,5,3,2,3.5,3,3,2,1,1,5,1,1,2,2,3,3,2.25,3,4,5,4,3.5,4.5,5,3,1,5,2,2,3,4,3,5,3,3,3.6,3.272727273,2,0,21,12,13,12,11,12,11,12,11,11,11,4,3,7,7,756,10,8,7,-4,88,38,105,51,91,32
2,3,13,0,-24,4,17,-15,1,21,24,22,1,0,1,0,1,0,0,0,5,5,5,2,1,1,1,1,0,2,4,5,3,5,3,4,1,4,2,2,3,1,4,2,1,2,2,2,5,1,4,5,5,2.333333333,0,0,0,0,2,1,5,5,4,1,4,4,2,3,5,5,12,12,11,11,11,12,11,12,12,20,2,5,2,1,1,1,1,0,7,Colorado,371,7,2,7,9,6,1,5,2,5,1,3,4,2,1,0.4,3,1400,400,0.6666666666666666,100,76,262,2,0,8,4,3,6,3,2,3,1,3,4,3,1,5,2,2.9,4,3,5,4,3,2,1,3,4,1,3,7,7,90,95,30,5,5,4,4,6,2,5,2,2,2,4,1,5,2,3,5,6,2,3,1,5,1,1,2,2.666666667,2.666666667,3.833333333,4.833333333,5,5,2,2,1,3,1,4,2,5,3,1,5,3,3,4,4,5,5,1,3,3,2,3.25,5,5,5,1,5,3,3,3,1,1,2,1,1,5,4,3,3,1.833333333,3.2,2.454545455,4,3,4,8,7,2,8,8,8,15,5,6,4,4,2,6,2,977,12,9,8,-1,87,15,32,55,111,36
-5,2,27,0,10,5,17,25,2,21,5,2,1,1,1,0,1,0,0,0,8,8,8,7,1,1,1,1,0,7,3,1,5,4,3,4,4,5,5,1,2,2,5,4,5,5,4,2,5,4,3,4,5,2.833333333,1,0,1,0,4,6,2,5,3,6,4,4,2,3,4,4,8,8,7,11,12,11,11,12,11,81,4,3,2,0,0,0,1,0,7,New York,969,1,5,8,11,13,1,1,6,3,3,4,5,2,1,0,4,1400,400,0.3333333333333333,20,35,248,3,0.25,13,2,4,1,3,5,4,1,1,5,4,2,1,4,3.8,5,1,2,3,2,1,1,1,4,5,3.3,1,1,35,0,80,3,3,4,4,5,1,3,1,6,2,4,4,4,6,6,1,2,1,3,3,1,2,1,3,3.666666667,3.333333333,3.333333333,4.833333333,4,5,3,1,5,4,1,3,2,5,2.7,5,2,5,2,1,3,5,4,1,1,2,5,3,5,1,2,5,3,3.5,5,5,3,5,3,4,3,5,2,5,5,4.166666667,4,4.090909091,8,5,4,8,5,10,8,10,4,5,5,4,8,2,7,4,3,184,12,12,9,3,85,47,99,4,77,93
-8,4,24,0,20,4,17,26,1,21,-23,30,0,0,1,1,0,1,0,1,5,5,5,3,1,1,1,1,0,1,5,5,2,4,4,5,4,2,4,2,4,2,3,4,1,5,1,5,4,4,3,5,2,3.5,0,0,1,0,1,1,2,4,1,5,5,1,4,2,4,5,13,12,11,11,11,10,9,8,8,53,5,3,3,1,0,0,1,0,3,Massachusetts,355,2,3,4,10,5,6,4,4,3,4,1,2,2,1,0.2,5,800,500,0.0,90,48,347,1,0,4,20,14,11,3,2,3,5,2,4,3,5,4,3,3,3,4,1,1,3,5,5,3,1,5,2.9,2,6,15,75,10,4,1,1,3,3,6,4,3,4,4,1,1,6,6,3,3,5,4,1,5,1,3,3,5,4,2.833333333,4.5,4,1,3,3,1,1,1,5,4,1,2,3.4,1,4,1,2,3,3,4,2,5,4,3,2,2.833333333,5,2,4,5,3.5,4.5,1,1,2,4,3,4,4,3,2,5,3,2.5,3.4,2.909090909,3,5,11,13,12,15,12,12,11,11,11,11,21,4,7,4,2,694,7,5,10,-4,85,51,41,116,68,9
